ID,Legante standard,Famiglia,Legante originale,Metallo,Sale metallico,Campione,Solvente,Co-linker/Additivo,Temperatura,Tempo ore,Vial/Beuta ml,Data raw,Data ISO,MM legante,MM sale,mmol legante,mmol sale,mg legante,mg sale,Rapporto L/M,Procedura sintetica,Stato XRD,Esito/Osservazioni,IR file,XRD file,TGA file,BET,Riferimento cartella,Tag,Duplicati potenziali,Note,Sorgente_Database,mmol metallo,mg metallo,Quantita additivo,Volume solvente,Procedimento / note,IR,XRD,TGA,Caratterizzazioni presenti,Foglio origine,Riga origine,Inserito il,Note future,Esito_ML
80,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Mg,Mg(OAc)2*4H2O,H2BPz18,H2O,,130,48,20,"2/12/2024  17,30",2024-12-02,,,0.15,,22.37295,,,,N.D.,,,,,,,,1.0,,MOFs,0.45,96.507,8 ml,"0,5 ml","Ho pesato il ligando e solubilizzato con 4 ml di DMF, poi messo la vial da 20 ml nel sonicatore (10 min); nel contempo ho pesato il metallo e solubilizzato con 4 ml di DMF  ed aggiunto 0,5 ml di metanolo e 0,5 ml di acqua pura all'interno di una vial da 20 ml termoresistente, posta nel sonicatore per 10 minuti. Una volta solubilizzato ho travasato il contenuto della vial con il ligando all'interno della vial termoresistente e poi messo in stufa a 130 gradi per 24h. Nessun precipitato.",,,,,"3-amino-4,4′-bipyrazole",124.0,,,1.0
81,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Mn,MnCl2 · 4H2O,H2BPz24,,,100,24,15,"13/01/2025    14,00",2025-01-13,,,0.2,,29.83,,,,N.D.,,,,,,,,0.0,,MOFs,0.2,39.582,5ml/5ml,5ml/5ml,"Ho pesato il legante e posto all'interno della vial per la reazione solvotermale da 15 ml, aggiunto DMF/EtOH e messo nel sonicatore; nel frattempo ho pesato anche il metallo e solubilizzato sempre con 5 ml di DMF/EtOH. Una volta solubilizzato il metallo l'ho travasato nella vial contenente il legante. Ho messo il tutto in stufa a 100°C per 24h.",,,,,"3-amino-4,4′-bipyrazole",166.0,,,1.0
82,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Mn,MnCl2 · 4H2O,H2BPz25,,,100,5 giorni,15,"15/01/2025    10,00",2025-01-15,,,0.2,,29.83,,,,N.D.,,,,,,,,0.0,,MOFs,0.2,39.582,10 ml,10 ml,"Ho pesato il legante e posto all'interno della vial per la reazione solvotermale da 15 ml, aggiunto 7 ml di  DMF e messo nel sonicatore; nel frattempo ho pesato anche il metallo e solubilizzato  con 3 ml di DMF. Una volta solubilizzato il metallo l'ho travasato nella vial contenente il legante. Ho messo il tutto in stufa a 100°C. Nessun precipitato, l'ho messa in una vial da 20 ml con tappo di plastica in frigorifero per vedere se cristallizzerà qualcosa.",,,,,"3-amino-4,4′-bipyrazole",173.0,,,1.0
83,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Mn,Mn(Oac)2*4H2O,H2BPz27,,,130,72,15,"17/01/2025    15,30",2025-01-17,,,0.2,,29.83,,,,N.D.,,,,,,,,0.0,,MOFs,0.2,49.02,5ml/5ml,5ml/5ml,"Ho pesato il legante e posto all'interno della vial per la reazione solvotermale da 15 ml, aggiunto 5 ml di  DMF/EtOH e messo nel sonicatore; nel frattempo ho pesato anche il metallo e solubilizzato  con 5 ml di DMFEtOH. Una volta solubilizzato il metallo l'ho travasato nella vial contenente il legante. Ho messo il tutto in stufa a 130°C per 72h.  Spettro IR non risoluto e chiaro, composto buttato.",,,,,"3-amino-4,4′-bipyrazole",187.0,,,1.0
84,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Mn,MnCl2 · 4H2O,H2BPz28,,,100,48,15,"21/01/2025     11,00",2025-01-21,,,0.2,,29.83,,,,N.D.,,,,,,,,0.0,,MOFs,0.2,39.582,10 ml,10 ml,"Ho pesato il legante e posto all'interno della vial per la reazione solvotermale da 15 ml, aggiunto 6,5ml di  EtOH e messo nel sonicatore; nel frattempo ho pesato anche il metallo e solubilizzato  con 3,5 ml di EtOH. Una volta solubilizzato il metallo l'ho travasato nella vial contenente il legante. Ho messo il tutto in stufa a 100°C per 24h.  Spettro IR praticamente del legante, non mi ha reagito. Riprovo a temperature più alte",,,,,"3-amino-4,4′-bipyrazole",194.0,,,1.0
85,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Mn,MnCl2 · 4H2O,H2BPz30,,,160,48,15,"22/01/2025    16,30",2025-01-22,,,0.2,,29.83,,,,N.D.,,,,,,,,0.0,,MOFs,0.2,39.582,5 ml/5 ml,5 ml/5 ml,"Ho pesato il legante e posto all'interno della vial per la reazione solvotermale da 15 ml, aggiunto 5 ml di  DMF/EtOH e messo nel sonicatore; nel frattempo ho pesato anche il metallo e solubilizzato  con 5 ml di DMF/EtOH. Una volta solubilizzato il metallo l'ho travasato nella vial contenente il legante. Ho messo il tutto in stufa a 160°C per 24h.",,,,,"3-amino-4,4′-bipyrazole",208.0,,,1.0
86,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Mn,MnCl2 · 4H2O,H2BPz31,,,160,72,15,"24/01/2025  12,30",2025-01-24,,,0.2,,29.83,,,,N.D.,,,,,,,,0.0,,MOFs,0.2,39.582,10 ml,10 ml,"Ho pesato il legante e posto all'interno della vial per la reazione solvotermale da 15 ml, aggiunto 7 ml di  DMF e messo nel sonicatore; nel frattempo ho pesato anche il metallo e solubilizzato  con 3 ml di DMF. Una volta solubilizzato il metallo l'ho travasato nella vial contenente il legante. Ho messo il tutto in stufa a 160°C per 24h.",,,,,"3-amino-4,4′-bipyrazole",215.0,,,1.0
87,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Mn,Mn(Oac)2*4H2O,H2BPz32,,,160,24,15,"27/01/2025 12,30",2025-01-27,,,0.2,,29.83,,,,N.D.,,,,,,,,0.0,,MOFs,0.2,49.02,10 ml,10 ml,"Ho pesato il legante e posto all'interno della vial per la reazione solvotermale da 15 ml, aggiunto 7 ml di  DMF e messo nel sonicatore; nel frattempo ho pesato anche il metallo e solubilizzato  con 3 ml di DMF. Una volta solubilizzato il metallo l'ho travasato nella vial contenente il legante. Ho messo il tutto in stufa a 160°C per 24h. Spettro IR non molto risoluto.",,,,,"3-amino-4,4′-bipyrazole",222.0,,,1.0
88,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Mn,Mn(Oac)2*4H2O,H2BPz33,DMF,BDC,140,115,15,"29/01/2025     15,45",2025-01-29,,,0.2,,29.83,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,49.02,0.1,10 ml,"Ho pesato il legante ed il BDC e posto all'interno della vial per la reazione solvotermale da 15 ml, aggiunto 7 ml di  DMF e messo nel sonicatore; nel frattempo ho pesato anche il metallo e solubilizzato  con 3 ml di DMF. Una volta solubilizzato il metallo l'ho travasato nella vial contenente il legante. Ho messo il tutto in stufa a 140°C per 115 ore.",,,,,"3-amino-4,4′-bipyrazole",229.0,,,1.0
89,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Zr,Zr(OCH3)4,H2BPz48,HCl 37%,,120,48,15,"07/07/2025   10,45",2025-07-07,,,0.15,,22.37295,,,,N.D.,,,,,,,,1.0,,MOFs,0.15,32.454,10 ml,90 microL,"Ho pesato il legante e messo in una vial da 15 ml per la reazione solvotermica, ho aggiunto 5 ml di DMF e messa nel sonicatore; nel mentre ho pesato il metallo e messo in una vial ed aggiunto 5 ml di DMF e messo a sonicare. Dopo 10 minuti ho travasato il metallo nel legante, ho aggiunto 90 microL di HCl 37 % e messo in stufa a 120°C per 48H.",,,,,"3-amino-4,4′-bipyrazole",345.0,,,1.0
90,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Zr,ZrCl4,H2BPz49,HCl 37%,,120,48,15,"07/07/2025   10,45",2025-07-07,,,0.15,,22.37295,,,,N.D.,,,,,,,,1.0,,MOFs,0.15,34.956,10 ml,90 microL,"Ho pesato il legante e messo in una vial da 15 ml per la reazione solvotermica, ho aggiunto 5 ml di DMF e messa nel sonicatore; nel mentre ho pesato il metallo e messo in una vial ed aggiunto 5 ml di DMF e messo a sonicare. Dopo 10 minuti ho travasato il metallo nel legante, ho aggiunto 90 microL di HCl 37 % e messo in stufa a 120°C per 48H.",,,,,"3-amino-4,4′-bipyrazole",352.0,,,1.0
91,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Zr,ZrCl4,H2BPz53,H2O,,100,48,15,"14/11/25   17,00",2025-11-14,,,0.2,,29.8306,,,,N.D.,,,,,,,,1.0,,MOFs,0.1,23.3,60 microL,10 ml,nessun precipitato,,,,,"3-amino-4,4′-bipyrazole",382.0,,,1.0
92,"3-amino-4,4'-bipyrazole",Bipyrazole,H2BPZNH2,Zr,ZrCl4,H2BPz54,DMF,,120,48,15,"17/11/2025    17,00",2025-11-17,,,0.2,,29.8306,,,,N.D.,,,,,,,,1.0,,MOFs,0.1,23.3,60 microL,10 ml,amorfo,,,,,"3-amino-4,4′-bipyrazole",389.0,,,1.0
93,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Al,Al(NO3)3*9H2O,MePzDC2,DMF,,120,24,15,"29/04/25   17,30",2025-04-29,,,0.2,,25.222,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,75.028,10 ml,10 ml,nessun precipitato.,,,,,PzDC,15.0,,,1.0
94,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Cu,Cu(OAc)2*H2O,MPC1,H2O,,RT,96,20,"5/12/25  18,00",2025-12-05,,,0.2,,28.028,,,,Promettente,,,,,,,,1.0,,MOFs,0.1,18.164,,,,,buono,,,3-METHYLPYRAZOLE-4-CARBOXYLIC A,3.0,,,2.0
95,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Fe,Fe2(SO4)3*xH2O,MPC2,DMF/EtOH,,RT,24,20,"10/12/2025   16,30",2025-12-10,,,0.2,,28.028,,,,N.D.,,,,,,,,1.0,,MOFs,0.1,39.988,,,Nessun precipitato,,,,,3-METHYLPYRAZOLE-4-CARBOXYLIC A,10.0,,,1.0
96,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Fe,FeCl3,MPC3,DMF/EtOH,,RT,24,20,"10/12/2025   16,30",2025-12-10,,,0.2,,28.028,,,,N.D.,,,,,,,,1.0,,MOFs,0.1,16.22,,,,,,,,3-METHYLPYRAZOLE-4-CARBOXYLIC A,17.0,,,1.0
97,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Mn,Mn(OAc)2*4H2O,MPC4,DMF/H2O,,120,24,15,"11/12/25   12,00",2025-12-11,,,0.2,,28.028,,,,Promettente,,,,,,,,1.0,,MOFs,0.1,24.509,,,Precipitato rossastro,,"picchi ad alti teta, quindi probabile complesso, niente MOF",,,3-METHYLPYRAZOLE-4-CARBOXYLIC A,24.0,,,2.0
98,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Mn,Mn(OAc)2*4H2O,MPC6,DMF/H2O,,120,72,15,"12/12/2025  17,00",2025-12-12,,,0.2,,28.028,,,,Promettente,,,,,,,,1.0,,MOFs,0.1,24.509,,1 ml,,,"XRD buono, ma i picchi sono sopra i 10 tetha, quindi probabile un complesso o legante",,,3-METHYLPYRAZOLE-4-CARBOXYLIC A,39.0,,,2.0
99,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Ni,Ni(NO3)2,MPC5,DMF/H2O,,120,72,15,"11/12/25   12,00",2025-12-11,,,0.2,,28.028,,,,Promettente,,,,,,,,1.0,,MOFs,0.1,29.081,,,,,"XRD buono, ma picchi poco sharpe, quindi magari migliorare condizioni di sintesi",,,3-METHYLPYRAZOLE-4-CARBOXYLIC A,31.0,,,2.0
100,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Zr,ZrCl4,MePzDC11,MeOH,,110,94,35,"30/05/2025  12,00",2025-05-30,,,0.3,,37.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.3,69.912,20 ml,20 ml,"Ho pesato il legante e messo nella vial da 35 ml per la reazione solvotermal, aggiunto 12  ml di MeOH e posto nel sonicatore; nel mentre ho pesato il sale metallico e messo in una vial con tappo di plastica, ho aggiunto 8 ml di MeOh e messo nel sonicatore. Una volta ottenuta una soluzione limpida ho travasato tutto nella vial da 15 ml e posta in stufa a 110°C.",,,,,PzDC,79.0,,,1.0
101,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Zr,ZrCl4,MePzDC14,MeOH,,100,,35,"10/06/2025  12,00",2025-06-10,,,0.3,,37.833,,,,N.D.,,,,,,,,0.0,,MOFs,0.3,69.912,20 ml,20 ml,"Ho pesato il legante e messo nella vial da 35 ml per la reazione solvotermal, aggiunto 12  ml di MeOH e posto nel sonicatore; nel mentre ho pesato il sale metallico e messo in una vial con tappo di plastica, ho aggiunto 8 ml di MeOH e messo nel sonicatore. Una volta ottenuta una soluzione limpida ho travasato tutto nella vial da 15 ml e posta in stufa a 100°C.",,,,,PzDC,103.0,,,1.0
102,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Zr,ZrCl4,MePzDC3,MeOH,,110,24,15,"06/05/25  17,30",2025-05-06,,,0.15,,18.9165,,,,N.D.,,,,,,,,1.0,,MOFs,0.15,34.956,10 ml,10 ml,"Ho pesato il legante e messo nella vial da 15 ml per la reazione solvotermal, aggiunto 5 ml di MeOH e posto nel sonicatore; nel mentre ho pesato il sale metallico e messo in una vial con tappo di plastica, ho aggiunto 5 ml di MeOh e messo nel sonicatore. Una volta ottenuta una soluzione limpida ho travasato tutto nella vial da 15 ml e posta in stufa a 110°C per 24h. XRD molto buono.",,,,,PzDC,21.0,,,1.0
103,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Zr,ZrCl4,MePzDC7,DMF/MeOH,,110,,15,"19/05/2025  15,30",2025-05-19,,,0.15,,18.9165,,,,N.D.,,,,,,,,0.0,,MOFs,0.15,34.956,7 ml/ 3 ml,7 ml/ 3 ml,"Ho pesato il legante e messo nella vial da 15 ml per la reazione solvotermal, aggiunto 7 ml diDMF e posto nel sonicatore; nel mentre ho pesato il sale metallico e messo in una vial con tappo di plastica, ho aggiunto 3 ml di MeOH e messo nel sonicatore. Una volta ottenuta una soluzione limpida ho travasato tutto nella vial da 15 ml e posta in stufa a 110°C per 24h.",,,,,PzDC,47.0,,,1.0
104,3-MePz-4-COOH,Pyrazole carbossilati,3-MePz-4-COOH,Zr,ZrCl4,MePzDC8,MeOH,,110,72,15,"23/05/2025  16,00",2025-05-23,,,0.15,,18.9165,,,,N.D.,,,,,,,,1.0,,MOFs,0.15,34.956,10 ml,10 ml,"Ho pesato il legante e messo nella vial da 15 ml per la reazione solvotermal, aggiunto 5 ml di MeOH e posto nel sonicatore; nel mentre ho pesato il sale metallico e messo in una vial con tappo di plastica, ho aggiunto 5 ml di MeOh e messo nel sonicatore. Una volta ottenuta una soluzione limpida ho travasato tutto nella vial da 15 ml e posta in stufa a 110°C per 24h. XRD molto buono.",,,,,PzDC,56.0,,,1.0
105,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(NO3)2*4H2O,Cd-MOF10,DMF/EtOH,,140,72,20,"24/10/2025  12,30",2025-10-24,,,0.2,,35.826,,,,N.D.,,,,,,,,1.0,,MOFs,0.1,30.847,11 ml/4 ml,11 ml/4 ml,"Pesato il sale metallico e messo in una vial da 8 ml, aggiunti 5 ml di DMF e sonicato per 2 minuti; poi ho pesato il legante e messo in una vial solvotermica ed aggiunti 6 ml di DMF e 4 ml di EtOH. Ho travasato il metallo nella vial per la reazione solvotermica, poi sigillato con il teflon e posto in stufa a 140°C.",,,dopo lo scambio con il MeOH solvente rimosso completamente,,Cd-MOF,81.0,,,1.0
106,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(NO3)2*4H2O,Cd-MOF11,DMF,,140,72,15,45965.729166666664,2025-11-04,,,0.2,,35.826,,,,N.D.,,,,,,,,2.0,,MOFs,0.1,30.847,10 ml,10 ml,"Pesato il sale metallico e messo in una vial da 8 ml, aggiunti 5 ml di DMF e sonicato per 2 minuti; poi ho pesato il legante e messo in una vial solvotermica ed aggiunti 5 ml di DMF . Ho travasato il metallo nella vial per la reazione solvotermica, poi sigillato con il teflon e posto in stufa a 140°C.",,,,,Cd-MOF,89.0,,,1.0
107,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(NO3)2*4H2O,"Cd-MOF11,2",DMF,,140,72,35,"30/01/26   12,00",2026-01-30,,,0.6,,107.478,,,,Da valutare,,,,,,,,2.0,,MOFs,0.3,92.541,30 ml,30 ml,,,stesso XRD del Cd-11,,,Cd-MOF,162.0,,,1.0
108,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(OAc)2*2H2O,"Cd-MOF11,3",DMF,,140,72,15,"30/01/26   12,00",2026-01-30,,,0.2,,35.826,,,,N.D.,,,,,,,,1.0,,MOFs,0.1,26.653,10 ml,10 ml,"Il precipitato si è formato appena aggiunto il sale metallico al legante. praticamente solo soluzione torbida, ma passsata attraverso il filtro",,,,,Cd-MOF,170.0,,,1.0
109,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(NO3)2*4H2O,"Cd-MOF11,3",DMF,,160,24,20,"21/04/26   11,30",2026-04-21,,,0.2,,35.826,,,,Promettente,,,,,,,,1.0,,MOFs,0.1,30.847,12 ml,12 ml,"Pesato il sale metallico e messo in una vial da 8 ml, aggiunti 6 ml di DMF e sonicato per 2 minuti; poi ho pesato il legante e messo in una vial solvotermica ed aggiunti 6 ml di DMF. Ho travasato il metallo nella vial per la reazione solvotermica, poi sigillato con il teflon e posto in stufa a 160°C.",identico all'altro,"buono, ma 11.2 era meglio",,,Cd-MOF,223.0,,,2.0
110,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(NO3)2*4H2O,"Cd-MOF11,5",DMF,,160,48,20,"11/05/2026  18,00",2026-05-11,,,0.1,,17.913,,,,Da valutare,,,,,,,,2.0,,MOFs,0.1,30.847,15 ml,15 ml,"Pesato il sale metallico e messo in una vial da 8 ml, aggiunti 7 ml di DMF e sonicato per 2 minuti; poi ho pesato il legante e messo in una vial solvotermica ed aggiunti 8 ml di DMF. Ho travasato il metallo nella vial per la reazione solvotermica, poi sigillato con il teflon e posto in stufa a 160°C.",fatto,fatto,,,Cd-MOF,244.0,,,1.0
111,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(NO3)2*4H2O,"Cd-MOF11,6",DMF,,160,48,15,"13/05/2026   15,30",2026-05-13,,,0.1,,17.913,,,,Da valutare,,,,,,,,2.0,,MOFs,0.2,61.694,10 ml,10 ml,"Pesato il sale metallico e messo in una vial da 8 ml, aggiunti 5 ml di DMF e sonicato per 2 minuti; poi ho pesato il legante e messo in una vial solvotermica ed aggiunti 5 ml di DMF. Ho travasato il metallo nella vial per la reazione solvotermica, poi sigillato con il teflon e posto in stufa a 160°C.",fatto,fatto,,,Cd-MOF,258.0,,,1.0
112,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(NO3)2*4H2O,Cd-MOF2,DMF/H2O,,160,72,20,"06/10/2025  11,00",2025-10-06,,,0.3,,53.739,,,,N.D.,,,,,,,,1.0,,MOFs,0.3,92.541,12 ml/4ml,12 ml/4ml,"Pesato il sale metallico e messo in una vial da 8 ml, aggiunti 5 ml di DMF e sonicato per 2 minuti; poi ho pesato il legante e messo in una vial solvotermica ed aggiunti 7 ml di DMF e 4 ml di H2O milliQ. Ho travasato il metallo nella vial per la reazione solvotermica, poi sigillato con il teflon e posto in stufa a 160°C.",,,,,Cd-MOF,21.0,,,1.0
113,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(NO3)2*4H2O,Cd-MOF5,DMF/H2O,,140,120,35,"16/10/25   10,30",2025-10-16,,,0.2,,35.826,,,,N.D.,,,,,,,,1.0,,MOFs,0.1,30.847,20ml/10ml,20ml/10ml,"Pesato il sale metallico e messo in una vial da 8 ml, aggiunti 5 ml di DMF e sonicato per 2 minuti; poi ho pesato il legante e messo in una vial solvotermica ed aggiunti 7 ml di DMF e 4 ml di H2O milliQ. Ho travasato il metallo nella vial per la reazione solvotermica, poi sigillato con il teflon e posto in stufa a 140°C.",,,,,Cd-MOF,44.0,,,1.0
114,"3,3-dimethyl-4,4'-bipyrazole",Bipyrazole,"3,3-dimethyl-4,4′-bipyrazole",Ag,AgNO3,Me2BPZ2,DMF,,100,48,15,"14/05/2025  12,15",2025-05-14,,,0.15,,24.3285,,,,N.D.,,,,,,,,2.0,,MOFs,0.15,25.4805,8 ml,8 ml,,,,,,"3,3-dimethyl-4,4′-bipyrazole",19.0,,,1.0
115,"3,3-dimethyl-4,4'-bipyrazole",Bipyrazole,"3,3-dimethyl-4,4′-bipyrazole",Ag,AgNO3,Me2BPZ3,DMF,Acido benzoico,100,24,15,"21/05/2025  12,30",2025-05-21,,,0.15,,24.3285,,,,N.D.,,,,,,,,3.0,,MOFs,0.15,25.4805,,8 ml,"Ho pesato il legante e l'acido benzoico e messo in una vial da 15 ml per la reazione solvotermica, aggiunto 4 ml di DMF e posto nel sonicatore; nel contempo ho pesato il sale metallico e messo in una vial con tappo di plastica da 8 ml ed aggiunto 4 ml di DMF e posto nel sonicatore. Dopo 5 minuti si è notata la completa dissoluzione in entrambe le vial, ho travasato il sale metallico nell'altra vial, aggiunto teflon e posto in stufa a 100°C.  Dopo 30 minuti ho notato un precipitato bianco che con il passare del tempo si è annerito, dopo 24h era completamente nero. Una volta filtrato ed asciugato è rimasto un precipitato giallo/grigiastro.",,,,,"3,3-dimethyl-4,4′-bipyrazole",26.0,,,1.0
116,"3,3-dimethyl-4,4'-bipyrazole",Bipyrazole,"3,3-dimethyl-4,4′-bipyrazole",Ag,AgNO3,Me2BPZ4,DMF,Acido acetico glaciale,100,24,15,"26/05/2025   15,30",2025-05-26,,,0.15,,24.3285,,,,N.D.,,,,,,,,3.0,,MOFs,0.15,25.4805,,8 ml,"Ho pesato il legante e l'acido acetico glaciale e messo in una vial da 15 ml per la reazione solvotermica, aggiunto 4 ml di DMF e posto nel sonicatore; nel contempo ho pesato il sale metallico e messo in una vial con tappo di plastica da 8 ml ed aggiunto 4 ml di DMF e posto nel sonicatore. Dopo 5 minuti si è notata la completa dissoluzione in entrambe le vial, ho travasato il sale metallico nell'altra vial, aggiunto teflon e posto in stufa a 100°C.  Dopo 30 minuti ho notato un precipitato bianco che con il passare del tempo si è annerito, dopo 24h era completamente nero.",,,,,"3,3-dimethyl-4,4′-bipyrazole",35.0,,,1.0
117,"3,3-dimethyl-4,4'-bipyrazole",Bipyrazole,"3,3-dimethyl-4,4′-bipyrazole",Ag,AgNO3,Me2BPZ5,DMF,Acido benzoico,100,24,35,"05/06/2025   11,00",2025-06-05,,,0.3,,48.657,,,,N.D.,,,,,,,,3.0,,MOFs,0.3,50.961,,16 ml,"Ho pesato il legante e l'acido benzoico e messo in una vial da 35 ml per la reazione solvotermica, aggiunto 10 ml di DMF e posto nel sonicatore; nel contempo ho pesato il sale metallico e messo in una vial con tappo di plastica da 8 ml ed aggiunto 8 ml di DMF e posto nel sonicatore. Dopo 5 minuti si è notata la completa dissoluzione in entrambe le vial, ho travasato il sale metallico nell'altra vial, aggiunto teflon e posto in stufa a 100°C.  Dopo 30 minuti ho notato un precipitato bianco che con il passare del tempo si è annerito, dopo 24h era completamente nero. Una volta filtrato ed asciugato è rimasto un precipitato giallo/grigiastro.",,,,,"3,3-dimethyl-4,4′-bipyrazole",42.0,,,1.0
118,"3,3-dimethyl-4,4'-bipyrazole",Bipyrazole,"3,3-dimethyl-4,4′-bipyrazole",Ag,AgNO3,Me2BPZ6,DMF,,100,25,35,"09/06/2025  16,00",2025-06-09,,,0.3,,48.657,,,,N.D.,,,,,,,,1.0,,MOFs,0.3,50.961,,18 ml,"Ho pesato il legante  e messo in una vial da 35 ml per la reazione solvotermica, aggiunto 14  ml di DMF e posto nel sonicatore; nel contempo ho pesato il sale metallico e messo in una vial con tappo di plastica da 8 ml ed aggiunto 4 ml di DMF e posto nel sonicatore. Dopo 5 minuti si è notata la completa dissoluzione in entrambe le vial, ho travasato il sale metallico nell'altra vial, aggiunto teflon e posto in stufa a 100°C.",,,,,"3,3-dimethyl-4,4′-bipyrazole",49.0,,,1.0
119,"3,3-dimethyl-4,4'-bipyrazole",Bipyrazole,"3,3-dimethyl-4,4′-bipyrazole",Ag,AgNO3,Me2BPZ7,DMF,,100,48,100,"16,00   16/07/2025",2025-07-16,,,0.9,,145.971,,,,Promettente,,,,,,,,2.0,,MOFs,0.9,152.883,,55 ml,"Ho pesato il legante  e messo in una vial da 100 ml per la reazione solvotermica, aggiunto 40  ml di DMF e posto nel sonicatore; nel contempo ho pesato il sale metallico e messo in una vial con tappo di plastica da 20 ml ed aggiunto 14 ml di DMF e posto nel sonicatore. Dopo 5 minuti si è notata la completa dissoluzione in entrambe le vial, ho travasato il sale metallico nell'altra vial, aggiunto teflon e posto in stufa a 100°C.","Non male, poco sharpe","Pattern ripetuti, abbastanza sharpe",,,"3,3-dimethyl-4,4′-bipyrazole",58.0,,,2.0
120,"3,3-dimethyl-4,4'-bipyrazole",Bipyrazole,"3,3-dimethyl-4,4′-bipyrazole",Cd,Cd(NO3)2*4H2O,Cd-MOF14,DMF,,140,48,15,45966.5,2025-11-05,,,0.2,,32.438,,,,N.D.,,,,,,,,2.0,,MOFs,0.1,30.847,10 ml,10 ml,"Pesato il sale metallico e messo in una vial da 8 ml, aggiunti 5 ml di DMF e sonicato per 2 minuti; poi ho pesato il legante e messo in una vial solvotermica ed aggiunti 5 ml di DMF . Ho travasato il metallo nella vial per la reazione solvotermica, poi sigillato con il teflon e posto in stufa a 140°C.",,,,,Cd-MOF,113.0,,,1.0
121,"3,3-dimethyl-4,4'-bipyrazole",Bipyrazole,"3,3-dimethyl-4,4′-bipyrazole",Cd,Cd(NO3)2*4H2O,"Cd-MOF14,2",DMF,,140,120,100,"4/12/2025  15,30",2025-12-04,,,1.2,,194.628,,,,Promettente,,,,,,,,2.0,,MOFs,0.6,185.082,70 ml,70 ml,"Pesato il sale metallico e messo in una vial da 20 ml, aggiunti 20 ml di DMF e sonicato per 2 minuti; poi ho pesato il legante e messo in una vial solvotermica ed aggiunti 50 ml di DMF . Ho travasato il metallo nella vial per la reazione solvotermica, poi sigillato con il teflon e posto in stufa a 140°C.",,"XRD identico al precedente, ma picchi più intensi e sharpe",,,Cd-MOF,130.0,,,2.0
